Idx,MovementSpeed,SprintBaseSpeed,SprintMaxSpeed,SprintStartTime,SprintStartMinTime,SprintTime,SprintDeceleration,SpawnSpeedBoost,SpawnBoostTime,SpawnBoostSprintTime,SpawnBoostDeceleration,SpawnBoostEnemyDistance,SpawnBoostEnemyTime,DownedMovementSpeed,DownedSprintSpeed,Health,HealthRegen,Overheal,HealingModifier,Stamina,StaminaRegen,DashTime,StrafeAccelerationModifier,ArmourRating,SpecialItemMaxCharge
Peasant,160.000000,160.000000,275.000000,0.010000,0.010000,3.875000,100.000000,1.000000,3.000000,2.500000,0.500000,3500.000000,3.000000,100.000000,150.000000,30.000000,0.000000,0.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,180.000000
PlayablePeasant,280.000000,300.000000,450.000000,0.010000,0.010000,3.875000,100.000000,1.000000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,75.000000,2.000000,20.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,180.000000
Botman,250.000000,290.000000,430.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,225.000000,70.000000,0.000000,20.000000,1.000000,40.000000,6.000000,0.600000,0.950000,0.200000,180.000000
RoyalGuard,290.000000,290.000000,462.000000,0.010000,0.010000,3.875000,80.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,250.000000,500.000000,0.000000,0.000000,0.500000,150.000000,10.000000,0.600000,0.950000,0.000000,180.000000
BR_Peasant,290.000000,290.000000,462.000000,0.010000,0.010000,3.875000,80.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,250.000000,100.000000,0.000000,20.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,180.000000
Longbowman,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,90.000000,2.000000,10.000000,1.000000,50.000000,6.000000,0.700000,0.950000,0.000000,180.000000
Crossbowman,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,90.000000,2.000000,10.000000,1.000000,50.000000,6.000000,0.700000,0.950000,0.000000,180.000000
Javelineer,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,90.000000,2.000000,10.000000,1.000000,70.000000,6.000000,0.700000,0.950000,0.000000,180.000000
Skirmisher,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,90.000000,2.000000,10.000000,1.000000,70.000000,6.000000,0.700000,0.950000,0.000000,180.000000
Devastator,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,130.000000,2.000000,15.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,180.000000
Highlander,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,130.000000,2.000000,15.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,180.000000
Berserker,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,130.000000,2.000000,15.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,180.000000
Raider,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,130.000000,2.000000,15.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,230.000000
ManAtArms,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,150.000000,2.000000,20.000000,1.000000,80.000000,6.000000,0.700000,0.950000,0.350000,90.000000
Poleman,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,150.000000,2.000000,20.000000,1.000000,80.000000,6.000000,0.700000,0.950000,0.350000,90.000000
FieldEngineer,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,150.000000,2.000000,20.000000,1.000000,80.000000,6.000000,0.700000,0.950000,0.350000,90.000000
Guardian,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,175.000000,2.000000,25.000000,1.000000,80.000000,6.000000,0.800000,0.950000,0.500000,180.000000
Crusader,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,175.000000,2.000000,25.000000,1.000000,80.000000,6.000000,0.800000,0.950000,0.500000,180.000000
Officer,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,175.000000,2.000000,25.000000,1.000000,80.000000,6.000000,0.800000,0.950000,0.500000,230.000000
WarHero,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.000000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,1250.000000,1.000000,0.000000,0.500000,150.000000,10.000000,0.600000,0.950000,0.000000,180.000000
TutorialBot,250.000000,290.000000,350.000000,0.010000,0.010000,3.875000,80.000000,1.000000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,180.000000,0.000000,20.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,180.000000
Ambusher,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,130.000000,2.000000,15.000000,1.000000,100.000000,6.000000,0.600000,0.950000,0.000000,180.000000
Druid,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.000000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,400.000000,1.000000,0.000000,0.500000,150.000000,10.000000,0.600000,0.950000,0.000000,180.000000
MasonHeir,290.000000,290.000000,462.000000,0.010000,0.010000,3.875000,80.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,250.000000,650.000000,0.000000,0.000000,0.500000,150.000000,10.000000,0.600000,0.950000,0.000000,180.000000
Brawl,280.000000,300.000000,462.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,150.000000,250.000000,90.000000,2.000000,20.000000,1.000000,50.000000,6.000000,0.700000,0.950000,0.000000,180.000000
RoyalGuardAgatha,290.000000,290.000000,462.000000,0.010000,0.010000,3.875000,80.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,250.000000,500.000000,1.000000,0.000000,0.500000,150.000000,10.000000,0.600000,0.950000,0.000000,180.000000
ArgonII,270.000000,270.000000,462.000000,0.010000,0.010000,3.875000,80.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,250.000000,2000.000000,1.000000,0.000000,0.500000,300.000000,20.000000,0.600000,0.950000,0.000000,180.000000
Immortal,290.000000,290.000000,462.000000,0.010000,0.010000,3.875000,80.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,250.000000,500.000000,1.000000,0.000000,0.500000,150.000000,10.000000,0.600000,0.950000,0.000000,180.000000
BT_Peasant,250.000000,290.000000,430.000000,0.010000,0.010000,3.875000,100.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,225.000000,70.000000,0.000000,20.000000,1.000000,40.000000,6.000000,0.600000,0.950000,0.000000,180.000000
Malric,270.000000,270.000000,462.000000,0.010000,0.010000,3.875000,80.000000,1.150000,3.000000,2.500000,0.500000,3500.000000,3.000000,125.000000,250.000000,2500.000000,1.000000,0.000000,0.500000,300.000000,20.000000,0.600000,0.950000,0.000000,180.000000
